rank,song,artist,year,song_id,word,sentiment_afinn,sentiment_bing,sentiment_nrc
17,right here right now,jesus jones,1991,2435,alive,1,NA,anticipation
17,right here right now,jesus jones,1991,2435,alive,1,NA,joy
17,right here right now,jesus jones,1991,2435,alive,1,NA,positive
17,right here right now,jesus jones,1991,2435,alive,1,NA,trust
17,right here right now,jesus jones,1991,2435,alive,1,NA,anticipation
17,right here right now,jesus jones,1991,2435,alive,1,NA,joy
17,right here right now,jesus jones,1991,2435,alive,1,NA,positive
17,right here right now,jesus jones,1991,2435,alive,1,NA,trust
17,right here right now,jesus jones,1991,2435,alive,1,NA,anticipation
17,right here right now,jesus jones,1991,2435,alive,1,NA,joy
17,right here right now,jesus jones,1991,2435,alive,1,NA,positive
17,right here right now,jesus jones,1991,2435,alive,1,NA,trust
17,right here right now,jesus jones,1991,2435,alive,1,NA,anticipation
17,right here right now,jesus jones,1991,2435,alive,1,NA,joy
17,right here right now,jesus jones,1991,2435,alive,1,NA,positive
17,right here right now,jesus jones,1991,2435,alive,1,NA,trust
17,right here right now,jesus jones,1991,2435,alive,1,NA,anticipation
17,right here right now,jesus jones,1991,2435,alive,1,NA,joy
17,right here right now,jesus jones,1991,2435,alive,1,NA,positive
17,right here right now,jesus jones,1991,2435,alive,1,NA,trust
22,emotions,mariah carey,1991,2440,alive,1,NA,anticipation
22,emotions,mariah carey,1991,2440,alive,1,NA,joy
22,emotions,mariah carey,1991,2440,alive,1,NA,positive
22,emotions,mariah carey,1991,2440,alive,1,NA,trust
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,anticipation
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,joy
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,positive
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,trust
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,anticipation
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,joy
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,positive
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,trust
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,anticipation
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,joy
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,positive
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,trust
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,anticipation
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,joy
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,positive
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,trust
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,anticipation
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,joy
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,positive
36,it aint over til its over,lenny kravitz,1991,2454,alive,1,NA,trust
50,rhythm of my heart,rod stewart,1991,2467,alive,1,NA,anticipation
50,rhythm of my heart,rod stewart,1991,2467,alive,1,NA,joy
50,rhythm of my heart,rod stewart,1991,2467,alive,1,NA,positive
50,rhythm of my heart,rod stewart,1991,2467,alive,1,NA,trust
73,signs,tesla,1991,2487,alive,1,NA,anticipation
73,signs,tesla,1991,2487,alive,1,NA,joy
73,signs,tesla,1991,2487,alive,1,NA,positive
73,signs,tesla,1991,2487,alive,1,NA,trust
82,silent lucidity,"queensr""yche",1991,2496,alive,1,NA,anticipation
82,silent lucidity,"queensr""yche",1991,2496,alive,1,NA,joy
82,silent lucidity,"queensr""yche",1991,2496,alive,1,NA,positive
82,silent lucidity,"queensr""yche",1991,2496,alive,1,NA,trust
23,cant let go,mariah carey,1992,2535,alive,1,NA,anticipation
23,cant let go,mariah carey,1992,2535,alive,1,NA,joy
23,cant let go,mariah carey,1992,2535,alive,1,NA,positive
23,cant let go,mariah carey,1992,2535,alive,1,NA,trust
81,take this heart,richard marx,1992,2589,alive,1,NA,anticipation
81,take this heart,richard marx,1992,2589,alive,1,NA,joy
81,take this heart,richard marx,1992,2589,alive,1,NA,positive
81,take this heart,richard marx,1992,2589,alive,1,NA,trust
66,deeper and deeper,madonna,1993,2673,alive,1,NA,anticipation
66,deeper and deeper,madonna,1993,2673,alive,1,NA,joy
66,deeper and deeper,madonna,1993,2673,alive,1,NA,positive
66,deeper and deeper,madonna,1993,2673,alive,1,NA,trust
39,gangsta lean,drs,1994,2739,alive,1,NA,anticipation
